Year,Album,Song,Text
2000,Razorblade Romance,Join Me In Death,"['Baby join me in death', 'We are so young', 'our lives have just begun', ""but already we're considering"", 'escape from this world', ""and we've waited for so long"", 'for this moment to come', ""we're so anxious to be together"", 'together in death', ""Won't you die tonight for love"", ""Won't you die"", 'This world is a cruel place', ""and we're here only to lose"", 'so before life tears us apart let', 'death bless me with you', ""this life ain't worth living"", 'Baby join me in death\n']"
2000,Razorblade Romance,Right Here In My Arms,"['She is smiling like heaven is down on earth', 'Sun is shining so bright on her', 'And all her wishes have finally come true', 'And her heart is weeping. ', 'This happiness is killing her.', ""She'll be right here in my arms"", 'So in Love', ""She'll be right here in these arms"", ""She can't let go"", 'Repeat 2x]', ""So hard she's trying"", ""But her heart won't turn to stone... oh no"", 'She keeps on crying', ""But I won't leave her alone"", ""She'll never be alone"", 'bridge]', ""And she'll be right here in my arms"", 'Repeat 3x and fade out]']"
2000,Razorblade Romance,Gone With The Sin,"['I love your skin oh so white', 'I love your touch cold as ice', 'And I love every single tear you cry', ""I just love the way you're losing your life"", 'Ohohohohoh my Baby, how beautiful you are', 'Ohohohohoh my Darling, completely torn apart', ""You're gone with the sin my Baby and beautiful you are"", 'So gone with the sin my Darling', 'I adore the despair in your eyes', 'I worship your lips once red as wine', 'I crave for your scent sending shivers down my spine', ""I just love the way you're running out of life"", 'Solo]', '2x Repeat Refrain]']"
2000,Razorblade Romance,Razorblade Kiss,"['I taste death in every kiss we share', 'Every sundown seems to be the last we have', 'Your breath on my skin has the scent of our end', ""I'm drunk on your tears, Baby, can't you see it's hurting"", 'Mmhhh mmmhhhh', 'Every time we touch we get closer to heaven', 'And at every sunrise our sins are forgiven', 'Uh.uh', 'You on my skin this must be the end', 'The only way you can love me is to hurt me again', 'And again', 'Your love is a razorblade kiss', 'Sweetest is the taste from your lips', 'Oh the taste from your lips, my Darling', 'Taste from your lips, oh my Love', ""Only inside I'm free"", ""I'm tired of waiting"", ""You've got to let me dream"", 'inside you baby', ""I'm not afraid to feel"", 'I want you to love me', 'Cause you are the one', 'Sweetness is the taste from your lips', 'Sweetest is the taste from your lips\n']"
2000,Razorblade Romance,Bury Me Deep Inside Your Heart,"['Let me wake up in your arms', ""Hear you say it's not alright"", 'Let me be so dead and gone', 'So far away from life', 'Close my eyes', 'Hold me tight', 'And bury me deep inside your heart', 'All I ever wanted was you, my love', ""You're all I ever wanted is you, my love"", ""Your're all I ever wanted, just you"", 'Let me never see the sun', 'And never see you smile', 'Let us be so dead and so gone', 'Just close my eyes', ""You're all I ever wanted, you, oh my love"", ""You're all I ever wanted, you, my love"", ""That's the way it's always been"", 'My heart stops beating only for you Baby', 'Only for your loving', ""You're all I ever wanted, you, my love\n""]"
2000,Razorblade Romance,Heaven Tonight,"['I hold your hand in mine', ""I hold your hand and you're so lonely"", 'Oh so lonely', 'Your eyes have lost their light', ""Your eyes have lost their light and you're empty"", ""Oh my God you're so empty"", ""(I'm in love with you)"", 'You are my heaven tonight', 'Trying to find the heart you hide', 'Trying to find the heart you hide in vain', 'Oh in vain', ""And you're my haven in life"", ""And you're my haven in death, Baby"", 'Life and Death my Darling', 'Repeat]', ""That's right"", ""(I'm in love with you)\n""]"
2000,Razorblade Romance,Death Is In Love With Us,"['I know it hurts too much', ""I know that you're scared"", ""I know you're running out of trust"", 'Wishing you were dead', 'In your misery', ""You're not alone"", 'So come share your tears with me', 'And witness it all go wrong', 'I know it and I feel it', 'Just as well as you do, Honey', ""It's not our fault if death's in love with us oh oh"", ""It's not our fault if the reaper holds our hearts"", '41+66.6 = our loss', ""We're breathing only to fade away"", ""We're running just to get caught"", ""What love's lies blessed"", ""What love's light cursed"", 'Just fear for the best', 'And hope for our worst', ""Death's in love with us oh oh"", 'The Reaper holds our hearts oh oh', 'And the Reaper holds our hearts oh oh', ""It's not our fault if the reaper holds our hearts\n""]"
2000,Razorblade Romance,Resurrection,"['There was a time', 'When I could breath my life in you', 'One by one', 'Your pale fingers started to move', 'And I touched your face', 'And all life was erased', 'You smiled like an angel', '(Fallen from grace)', ""We've been slaves to this love"", 'From the moment we touched', 'And keep begging for more', 'Of this resurrection', 'You kissed my lips', 'With those once cold fingertips', 'You reached out for me', 'And oh how you missed', 'You touched my face', 'Of this', 'resurrection\n']"
2000,Razorblade Romance,One Last Time,"['Is it so hard to believe our hearts', 'Are made to be broken by love', 'That in constant dying lies', 'The beauty of it all', ""My darling won't you feel"", 'The sweet heaven in', 'Our endless cry', 'Oh at least you could try', 'For this one last time', 'So amazed how bright are the flames', 'We are burning in', 'Ever smiled at the tragedies', 'We hold inside', ""My darling won't you cherish"", 'The fear of life that keeps', 'You and me so alive', 'It could be alright', '(and we just will be closer)', '(let me fall into your arms)', ""(don't let us grow colder)"", '(let me close to your heart)', ""(before it's all over)"", '(let me close to your heart)\n']"
2000,Razorblade Romance,Sigillum Diaboli,"[""I can't see as I'm facing your pitiful lies"", ""Don't have the strength to carry your heavy load of life"", ""I'm your Christ to die on you"", ""This world's not for us and you know it as well as I do"", 'Oh', ""I can't see through your eyes, bring your tears on me"", 'I will leave the body for your shoulder you just have to killing', 'Oh as well as I do', 'Just as well as I do', ""So I'm your Christ to die on you"", ""Oh, so you've come from above"", 'And you say you want to', 'And I kill myself for your love', ""I'm killing myself for you, yes you"", 'Yes you do', 'Yes you do, my Darling', 'Yes you do..oh', 'Yes you do, oh my Love\n']"
